cantidad;Product ID;Cliente ID;Fecha;Envío;Método de pago;Recargo;Orden ID; Precio ;Orden; Mas envio ;Mas recargo;Precio Final
8;P088;C013;26/7/2025;No;Efectivo;No; O1687 ; $ 1.709 ; $ 13.668 ; $ -   ; $ -   ; $ 13.668 
4;P003;C013;29/7/2025;No;Efectivo;No; O1871 ; $ 2.050 ; $ 8.201 ; $ -   ; $ -   ; $ 8.201 
11;P117;C014;7/7/2025;Si;Credito;Si; O0434 ; $ 5.467 ; $ 60.140 ; $ 2.000 ; $ 3.007 ; $ 65.147 
20;P122;C014;14/7/2025;No;Efectivo;No; O0961 ; $ 2.734 ; $ 54.673 ; $ -   ; $ -   ; $ 54.673 
17;P117;C014;15/7/2025;No;Efectivo;No; O0978 ; $ 5.467 ; $ 92.943 ; $ -   ; $ -   ; $ 92.943 
6;P101;C014;15/7/2025;Si;Efectivo;No; O1036 ; $ 2.392 ; $ 14.352 ; $ 2.000 ; $ -   ; $ 16.352 
7;P117;C014;16/7/2025;Si;Efectivo;No; O1062 ; $ 5.467 ; $ 38.271 ; $ 2.000 ; $ -   ; $ 40.271 
20;P101;C014;16/7/2025;No;Credito;Si; O1072 ; $ 2.392 ; $ 47.839 ; $ -   ; $ 2.392 ; $ 50.230 
6;P082;C014;20/7/2025;Si;Efectivo;No; O1325 ; $ 1.879 ; $ 11.276 ; $ 2.000 ; $ -   ; $ 13.276 
11;P046;C014;20/7/2025;No;Credito;Si; O1352 ; $ 2.050 ; $ 22.552 ; $ -   ; $ 1.128 ; $ 23.680 
11;P042;C014;22/7/2025;Si;Efectivo;No; O1466 ; $ 1.709 ; $ 18.794 ; $ 2.000 ; $ -   ; $ 20.794 
17;P043;C014;23/7/2025;Si;Efectivo;No; O1522 ; $ 5.126 ; $ 87.134 ; $ 2.000 ; $ -   ; $ 89.134 
2;P028;C014;29/7/2025;No;Efectivo;No; O1914 ; $ 5.980 ; $ 11.960 ; $ -   ; $ -   ; $ 11.960 
1;P051;C015;4/7/2025;No;Credito;Si; O0232 ; $ 2.050 ; $ 2.050 ; $ -   ; $ 103 ; $ 2.153 
10;P109;C015;5/7/2025;No;Efectivo;No; O0313 ; $ 2.221 ; $ 22.211 ; $ -   ; $ -   ; $ 22.211 
20;P011;C015;13/7/2025;No;Credito;Si; O0855 ; $ 3.759 ; $ 75.175 ; $ -   ; $ 3.759 ; $ 78.934 
6;P068;C015;14/7/2025;No;Efectivo;No; O0914 ; $ 4.442 ; $ 26.653 ; $ -   ; $ -   ; $ 26.653 
10;P070;C015;26/7/2025;No;Credito;Si; O1733 ; $ 4.442 ; $ 44.421 ; $ -   ; $ 2.221 ; $ 46.643 
18;P138;C015;30/7/2025;Si;Efectivo;No; O1968 ; $ 6.492 ; $ 116.863 ; $ 2.000 ; $ -   ; $ 118.863 
19;P035;C016;4/7/2025;Si;Efectivo;No; O0278 ; $ 5.126 ; $ 97.386 ; $ 2.000 ; $ -   ; $ 99.386 
9;P064;C016;11/7/2025;No;Efectivo;No; O0706 ; $ 5.126 ; $ 46.130 ; $ -   ; $ -   ; $ 46.130 
5;P096;C016;13/7/2025;No;Efectivo;No; O0890 ; $ 4.271 ; $ 21.356 ; $ -   ; $ -   ; $ 21.356 
10;P129;C016;15/7/2025;No;Efectivo;No; O1028 ; $ 4.271 ; $ 42.713 ; $ -   ; $ -   ; $ 42.713 
1;P124;C016;18/7/2025;Si;Efectivo;No; O1190 ; $ 2.734 ; $ 2.734 ; $ 2.000 ; $ -   ; $ 4.734 
2;P098;C016;19/7/2025;No;Credito;Si; O1262 ; $ 4.271 ; $ 8.543 ; $ -   ; $ 427 ; $ 8.970 
2;P136;C016;21/7/2025;Si;Efectivo;No; O1379 ; $ 6.492 ; $ 12.985 ; $ 2.000 ; $ -   ; $ 14.985 
2;P119;C016;24/7/2025;No;Efectivo;No; O1590 ; $ 5.467 ; $ 10.935 ; $ -   ; $ -   ; $ 10.935 
14;P005;C016;28/7/2025;Si;Efectivo;No; O1809 ; $ 2.563 ; $ 35.879 ; $ 2.000 ; $ -   ; $ 37.879 
12;P062;C016;28/7/2025;Si;Efectivo;No; O1816 ; $ 5.126 ; $ 61.507 ; $ 2.000 ; $ -   ; $ 63.507 
15;P023;C016;29/7/2025;No;Credito;Si; O1875 ; $ 2.563 ; $ 38.442 ; $ -   ; $ 1.922 ; $ 40.364 
15;P103;C017;1/7/2025;No;Efectivo;No; O0040 ; $ 4.613 ; $ 69.195 ; $ -   ; $ -   ; $ 69.195 
8;P099;C017;2/7/2025;Si;Efectivo;No; O0123 ; $ 4.271 ; $ 34.170 ; $ 2.000 ; $ -   ; $ 36.170 
18;P110;C017;15/7/2025;No;Efectivo;No; O1017 ; $ 2.221 ; $ 39.979 ; $ -   ; $ -   ; $ 39.979 
13;P077;C017;20/7/2025;No;Efectivo;No; O1335 ; $ 2.563 ; $ 33.316 ; $ -   ; $ -   ; $ 33.316 
15;P107;C017;21/7/2025;No;Efectivo;No; O1433 ; $ 4.100 ; $ 61.507 ; $ -   ; $ -   ; $ 61.507 
7;P037;C017;26/7/2025;No;Efectivo;No; O1737 ; $ 5.980 ; $ 41.859 ; $ -   ; $ -   ; $ 41.859 
6;P081;C018;5/7/2025;No;Efectivo;No; O0330 ; $ 5.980 ; $ 35.879 ; $ -   ; $ -   ; $ 35.879 
6;P012;C018;8/7/2025;Si;Efectivo;No; O0512 ; $ 5.126 ; $ 30.753 ; $ 2.000 ; $ -   ; $ 32.753 
13;P079;C018;12/7/2025;No;Efectivo;No; O0768 ; $ 5.126 ; $ 66.632 ; $ -   ; $ -   ; $ 66.632 
14;P075;C018;15/7/2025;Si;Efectivo;No; O0979 ; $ 1.879 ; $ 26.311 ; $ 2.000 ; $ -   ; $ 28.311 
6;P052;C018;16/7/2025;No;Efectivo;No; O1066 ; $ 2.050 ; $ 12.301 ; $ -   ; $ -   ; $ 12.301 
20;P043;C018;16/7/2025;No;Credito;Si; O1077 ; $ 5.126 ; $ 102.511 ; $ -   ; $ 5.126 ; $ 107.637 
5;P129;C018;30/7/2025;No;Efectivo;No; O1974 ; $ 4.271 ; $ 21.356 ; $ -   ; $ -   ; $ 21.356 
12;P130;C019;6/7/2025;No;Efectivo;No; O0392 ; $ 4.271 ; $ 51.256 ; $ -   ; $ -   ; $ 51.256 
6;P066;C019;11/7/2025;Si;Efectivo;No; O0715 ; $ 4.442 ; $ 26.653 ; $ 2.000 ; $ -   ; $ 28.653 
3;P087;C019;17/7/2025;No;Efectivo;No; O1116 ; $ 5.980 ; $ 17.939 ; $ -   ; $ -   ; $ 17.939 
17;P010;C019;19/7/2025;No;Efectivo;No; O1255 ; $ 3.759 ; $ 63.899 ; $ -   ; $ -   ; $ 63.899 
16;P080;C019;20/7/2025;Si;Efectivo;No; O1367 ; $ 5.980 ; $ 95.677 ; $ 2.000 ; $ -   ; $ 97.677 
15;P044;C019;23/7/2025;No;Efectivo;No; O1560 ; $ 5.126 ; $ 76.883 ; $ -   ; $ -   ; $ 76.883 
4;P034;C019;28/7/2025;Si;Efectivo;No; O1828 ; $ 3.075 ; $ 12.301 ; $ 2.000 ; $ -   ; $ 14.301 
13;P129;C020;1/7/2025;No;Efectivo;No; O0046 ; $ 4.271 ; $ 55.527 ; $ -   ; $ -   ; $ 55.527 
16;P030;C020;10/7/2025;No;Efectivo;No; O0637 ; $ 2.050 ; $ 32.804 ; $ -   ; $ -   ; $ 32.804 
6;P048;C020;13/7/2025;Si;Efectivo;No; O0854 ; $ 2.050 ; $ 12.301 ; $ 2.000 ; $ -   ; $ 14.301 
9;P027;C020;15/7/2025;Si;Credito;Si; O1044 ; $ 5.980 ; $ 53.818 ; $ 2.000 ; $ 2.691 ; $ 58.509 
9;P134;C020;18/7/2025;Si;Efectivo;No; O1197 ; $ 4.271 ; $ 38.442 ; $ 2.000 ; $ -   ; $ 40.442 
20;P072;C020;20/7/2025;No;Efectivo;No; O1344 ; $ 4.442 ; $ 88.843 ; $ -   ; $ -   ; $ 88.843 
18;P038;C020;26/7/2025;Si;Efectivo;No; O1713 ; $ 5.980 ; $ 107.637 ; $ 2.000 ; $ -   ; $ 109.637 
10;P109;C021;13/7/2025;No;Efectivo;No; O0857 ; $ 2.221 ; $ 22.211 ; $ -   ; $ -   ; $ 22.211 
9;P138;C021;18/7/2025;Si;Efectivo;No; O1182 ; $ 6.492 ; $ 58.431 ; $ 2.000 ; $ -   ; $ 60.431 
7;P070;C021;21/7/2025;Si;Efectivo;No; O1417 ; $ 4.442 ; $ 31.095 ; $ 2.000 ; $ -   ; $ 33.095 
18;P074;C021;21/7/2025;Si;Efectivo;No; O1419 ; $ 1.879 ; $ 33.829 ; $ 2.000 ; $ -   ; $ 35.829 
6;P036;C022;6/7/2025;Si;Efectivo;No; O0369 ; $ 5.126 ; $ 30.753 ; $ 2.000 ; $ -   ; $ 32.753 
18;P032;C022;6/7/2025;No;Efectivo;No; O0399 ; $ 2.563 ; $ 46.130 ; $ -   ; $ -   ; $ 46.130 
3;P068;C022;8/7/2025;No;Efectivo;No; O0485 ; $ 4.442 ; $ 13.326 ; $ -   ; $ -   ; $ 13.326 
20;P027;C022;14/7/2025;Si;Efectivo;No; O0932 ; $ 5.980 ; $ 119.596 ; $ 2.000 ; $ -   ; $ 121.596 
15;P021;C022;30/7/2025;No;Efectivo;No; O1970 ; $ 2.392 ; $ 35.879 ; $ -   ; $ -   ; $ 35.879 
10;P023;C023;1/7/2025;Si;Efectivo;No; O0005 ; $ 2.563 ; $ 25.628 ; $ 2.000 ; $ -   ; $ 27.628 
11;P074;C023;4/7/2025;No;Credito;Si; O0227 ; $ 1.879 ; $ 20.673 ; $ -   ; $ 1.034 ; $ 21.707 
20;P094;C023;4/7/2025;No;Efectivo;No; O0240 ; $ 6.151 ; $ 123.013 ; $ -   ; $ -   ; $ 123.013 
8;P020;C023;5/7/2025;No;Efectivo;No; O0302 ; $ 2.050 ; $ 16.402 ; $ -   ; $ -   ; $ 16.402 
6;P025;C023;6/7/2025;Si;Efectivo;No; O0390 ; $ 5.126 ; $ 30.753 ; $ 2.000 ; $ -   ; $ 32.753 
12;P109;C023;7/7/2025;Si;Efectivo;No; O0442 ; $ 2.221 ; $ 26.653 ; $ 2.000 ; $ -   ; $ 28.653 
8;P079;C023;16/7/2025;Si;Credito;Si; O1089 ; $ 5.126 ; $ 41.004 ; $ 2.000 ; $ 2.050 ; $ 45.055 
12;P131;C023;27/7/2025;No;Credito;Si; O1775 ; $ 4.271 ; $ 51.256 ; $ -   ; $ 2.563 ; $ 53.818 
13;P002;C023;29/7/2025;Si;Credito;Si; O1884 ; $ 1.367 ; $ 17.769 ; $ 2.000 ; $ 888 ; $ 20.657 
7;P132;C024;4/7/2025;Si;Credito;Si; O0220 ; $ 4.271 ; $ 29.899 ; $ 2.000 ; $ 1.495 ; $ 33.394 
17;P038;C024;5/7/2025;No;Credito;Si; O0314 ; $ 5.980 ; $ 101.657 ; $ -   ; $ 5.083 ; $ 106.740 
10;P068;C024;5/7/2025;Si;Efectivo;No; O0328 ; $ 4.442 ; $ 44.421 ; $ 2.000 ; $ -   ; $ 46.421 
12;P055;C024;6/7/2025;Si;Credito;Si; O0356 ; $ 3.417 ; $ 41.004 ; $ 2.000 ; $ 2.050 ; $ 45.055 
13;P032;C024;14/7/2025;No;Credito;Si; O0933 ; $ 2.563 ; $ 33.316 ; $ -   ; $ 1.666 ; $ 34.982 
18;P128;C024;15/7/2025;No;Efectivo;No; O1021 ; $ 4.100 ; $ 73.808 ; $ -   ; $ -   ; $ 73.808 
10;P021;C024;21/7/2025;Si;Credito;Si; O1438 ; $ 2.392 ; $ 23.919 ; $ 2.000 ; $ 1.196 ; $ 27.115 
16;P003;C025;2/7/2025;Si;Efectivo;No; O0089 ; $ 2.050 ; $ 32.804 ; $ 2.000 ; $ -   ; $ 34.804 
17;P136;C025;5/7/2025;Si;Efectivo;No; O0334 ; $ 6.492 ; $ 110.370 ; $ 2.000 ; $ -   ; $ 112.370 
14;P024;C025;6/7/2025;Si;Efectivo;No; O0398 ; $ 3.075 ; $ 43.055 ; $ 2.000 ; $ -   ; $ 45.055 
14;P089;C025;13/7/2025;No;Efectivo;No; O0880 ; $ 2.392 ; $ 33.487 ; $ -   ; $ -   ; $ 33.487 
12;P129;C025;18/7/2025;Si;Efectivo;No; O1177 ; $ 4.271 ; $ 51.256 ; $ 2.000 ; $ -   ; $ 53.256 
6;P025;C025;18/7/2025;Si;Efectivo;No; O1180 ; $ 5.126 ; $ 30.753 ; $ 2.000 ; $ -   ; $ 32.753 
19;P109;C025;25/7/2025;Si;Credito;Si; O1647 ; $ 2.221 ; $ 42.200 ; $ 2.000 ; $ 2.110 ; $ 46.310 
11;P080;C025;28/7/2025;Si;Credito;Si; O1844 ; $ 5.980 ; $ 65.778 ; $ 2.000 ; $ 3.289 ; $ 71.067 
17;P049;C025;29/7/2025;No;Efectivo;No; O1868 ; $ 2.050 ; $ 34.854 ; $ -   ; $ -   ; $ 34.854 
11;P074;C026;3/7/2025;Si;Efectivo;No; O0197 ; $ 1.879 ; $ 20.673 ; $ 2.000 ; $ -   ; $ 22.673 
3;P054;C026;4/7/2025;Si;Credito;Si; O0251 ; $ 3.417 ; $ 10.251 ; $ 2.000 ; $ 513 ; $ 12.764 
11;P047;C026;15/7/2025;Si;Efectivo;No; O0981 ; $ 2.050 ; $ 22.552 ; $ 2.000 ; $ -   ; $ 24.552 
4;P037;C026;18/7/2025;Si;Credito;Si; O1184 ; $ 5.980 ; $ 23.919 ; $ 2.000 ; $ 1.196 ; $ 27.115 
10;P027;C026;23/7/2025;Si;Efectivo;No; O1513 ; $ 5.980 ; $ 59.798 ; $ 2.000 ; $ -   ; $ 61.798 
11;P120;C026;25/7/2025;Si;Efectivo;No; O1646 ; $ 5.467 ; $ 60.140 ; $ 2.000 ; $ -   ; $ 62.140 
14;P087;C026;26/7/2025;No;Efectivo;No; O1709 ; $ 5.980 ; $ 83.717 ; $ -   ; $ -   ; $ 83.717 
5;P136;C026;29/7/2025;Si;Efectivo;No; O1920 ; $ 6.492 ; $ 32.462 ; $ 2.000 ; $ -   ; $ 34.462 
20;P052;C026;29/7/2025;Si;Efectivo;No; O1926 ; $ 2.050 ; $ 41.004 ; $ 2.000 ; $ -   ; $ 43.004 
16;P138;C027;1/7/2025;No;Credito;Si; O0037 ; $ 6.492 ; $ 103.878 ; $ -   ; $ 5.194 ; $ 109.072 
4;P111;C027;1/7/2025;Si;Efectivo;No; O0062 ; $ 2.221 ; $ 8.884 ; $ 2.000 ; $ -   ; $ 10.884 
13;P008;C027;6/7/2025;Si;Efectivo;No; O0418 ; $ 3.075 ; $ 39.979 ; $ 2.000 ; $ -   ; $ 41.979 
2;P039;C027;10/7/2025;Si;Efectivo;No; O0611 ; $ 1.709 ; $ 3.417 ; $ 2.000 ; $ -   ; $ 5.417 
1;P088;C027;13/7/2025;No;Efectivo;No; O0881 ; $ 1.709 ; $ 1.709 ; $ -   ; $ -   ; $ 1.709 
17;P123;C027;14/7/2025;Si;Efectivo;No; O0953 ; $ 2.734 ; $ 46.472 ; $ 2.000 ; $ -   ; $ 48.472 
2;P128;C027;30/7/2025;Si;Efectivo;No; O1969 ; $ 4.100 ; $ 8.201 ; $ 2.000 ; $ -   ; $ 10.201 
4;P099;C027;30/7/2025;No;Efectivo;No; O1997 ; $ 4.271 ; $ 17.085 ; $ -   ; $ -   ; $ 17.085 
3;P070;C028;1/7/2025;Si;Credito;Si; O0002 ; $ 4.442 ; $ 13.326 ; $ 2.000 ; $ 666 ; $ 15.993 
12;P103;C028;4/7/2025;Si;Efectivo;No; O0253 ; $ 4.613 ; $ 55.356 ; $ 2.000 ; $ -   ; $ 57.356 
17;P043;C028;10/7/2025;No;Credito;Si; O0668 ; $ 5.126 ; $ 87.134 ; $ -   ; $ 4.357 ; $ 91.491 
